time,pos,angle,velocity,angular
0.0,0.0,1.22,0.0,0.0
0.01,0.002252434195761521,1.2192584605136567,0.45045513319468905,-0.1484153606370283
0.02,0.009035636284805448,1.2170046962943013,0.9061588759182768,-0.30272580237385754
0.03,0.020375142378798363,1.2131933214637867,1.3617219294142808,-0.4602252349733882
0.04,0.03626972933671925,1.207783757444302,1.817181501286855,-0.6226586027985734
0.05,0.05671856189344035,1.2007177274465382,2.2725781729990486,-0.7918238839106787
0.060000000000000005,0.08172123301096522,1.1919186269555644,2.727957244309595,-0.969592018745066
0.07,0.11127781839934255,1.181290691864804,3.1833702296579602,-1.157927477677177
0.08,0.14538894693333032,1.168717957141097,3.638876547772668,-1.3589096076773666
0.09,0.18405588909936554,1.1540629976949057,4.094545444560367,-1.5747548561624964
0.09999999999999999,0.2272806659898403,1.1371654424641173,4.550458185008888,-1.8078399015264979
0.10999999999999999,0.27506618167528785,1.117840252934494,5.006710539866932,-2.06072560923429
0.11999999999999998,0.327416381955006,1.0958757589452215,5.463415573281608,-2.3361815558762
0.12999999999999998,0.3843364423883857,1.071031448494324,5.920706702266002,-2.6372105843089275
0.13999999999999999,0.4458329879420961,1.0430355156567315,6.378740938508639,-2.9670724143491687
0.15,0.511914345236399,1.0115821836523355,6.837702123613143,-3.329304649300303
0.16,0.5825908257497173,0.9763288416116899,7.297803809689545,-3.7277384594778558
0.17,0.65787503370655,0.9368930683256758,7.759291188547061,-4.1665045993480945
0.18000000000000002,0.7377821846389938,0.8928496711693179,8.22244109331717,-4.650022953368737
0.19000000000000003,0.8223304082102036,0.8437279535823341,8.687558532437551,-5.182965140413269
0.20000000000000004,0.9115409896654042,0.7890095542042145,9.154967405187392,-5.770174388992329
0.21000000000000005,1.00543847547124,0.7281273938121912,9.624991935692954,-6.416519484813037
0.22000000000000006,1.1040505272125474,0.6604665447652873,10.097923945471344,-7.126649927345105
0.23000000000000007,1.2074073511372467,0.5853682216589826,10.573969510241742,-7.904608272410855
0.24000000000000007,1.315247279936927,0.5027266316460227,10.99443891151196,-8.634385295384922
0.25000000000000006,1.4262489266907623,0.4146880257481962,11.205935778878395,-8.979730739163884
0.26000000000000006,1.538246880930363,0.3254605370427179,11.19336739533905,-8.868188578055742
0.2700000000000001,1.64903275534257,0.2397117784410043,10.963358269246335,-8.281560776135272
0.2800000000000001,1.7567877678594663,0.1614809172888215,10.587257530767495,-7.364370217139786
0.2900000000000001,1.8537612319374646,0.10885986250263818,8.507538553524142,-2.4567171672136414
0.3000000000000001,1.9284565588956146,0.10881569062877991,6.496056568498828,2.2962788773426492
0.3100000000000001,1.9849710334229547,0.1517393933076526,4.860434948793466,6.160945537411969
0.3200000000000001,2.026645806302586,0.22968079689853751,3.5197023116148447,9.317722006995236
0.3300000000000001,2.05619083997178,0.3360606100796904,2.427318750429925,11.863258910373796
0.34000000000000014,2.075886070700975,0.46518161908762967,1.5436329798399122,13.878708377912407
0.35000000000000014,2.0876449810437827,0.6121147879697058,0.8348457078098581,15.437719899739843
0.36000000000000015,2.0930686078209173,0.7726535099649106,0.2721342455754935,16.611697123966533
0.37000000000000016,2.0934915831350085,0.9433020003398823,-0.16906829767767306,17.471391166821107
0.38000000000000017,2.090021644909636,1.1212640951809432,-0.5096632802741186,18.08559181641283
