time,ctrl_force
0.0,49.40800974490715
0.01,50.0
0.02,50.0
0.03,50.0
0.04,50.0
0.05,50.0
0.060000000000000005,50.0
0.07,50.0
0.08,50.0
0.09,50.0
0.09999999999999999,50.0
0.10999999999999999,50.0
0.11999999999999998,50.0
0.12999999999999998,50.0
0.13999999999999999,50.0
0.15,50.0
0.16,50.0
0.17,50.0
0.18000000000000002,50.0
0.19000000000000003,50.0
0.20000000000000004,50.0
0.21000000000000005,50.0
0.22000000000000006,50.0
0.23000000000000007,43.85830770354404
0.24000000000000007,21.861996535829263
0.25000000000000006,-1.3745717744715091
0.26000000000000006,-23.67343759468562
0.2700000000000001,-38.50370750546117
0.2800000000000001,-36.24631058932772
0.2900000000000001,2.106734640068366
0.3000000000000001,50.0
0.3100000000000001,50.0
0.3200000000000001,50.0
0.3300000000000001,50.0
0.34000000000000014,50.0
0.35000000000000014,50.0
0.36000000000000015,50.0
0.37000000000000016,50.0
0.38000000000000017,50.0
0.3900000000000002,50.0
0.4000000000000002,50.0
0.4100000000000002,-50.0
0.4200000000000002,-50.0
0.4300000000000002,-50.0
0.4400000000000002,-50.0
0.45000000000000023,-50.0
0.46000000000000024,-50.0
0.47000000000000025,-50.0
0.48000000000000026,-50.0
0.49000000000000027,-50.0
0.5000000000000002,0.46634787456050275
0.5100000000000002,6.834401335058791
0.5200000000000002,8.700700493983733
0.5300000000000002,9.180125151411541
0.5400000000000003,8.611356016521887
0.5500000000000003,6.332996918816342
0.5600000000000003,-0.6785756031285997
0.5700000000000003,-27.31163644062695
0.5800000000000003,50.0
0.5900000000000003,12.836347796795712
0.6000000000000003,12.461407612853563
0.6100000000000003,15.668457023974987
0.6200000000000003,20.000514745129145
0.6300000000000003,21.818151737685547
0.6400000000000003,25.07108419690765
0.6500000000000004,26.774008842347243
0.6600000000000004,27.512146083120612
0.6700000000000004,27.60615837533656
0.6800000000000004,27.437477262010923
0.6900000000000004,27.077732599500294
0.7000000000000004,26.58975415338054
0.7100000000000004,25.986402093683733
0.7200000000000004,25.285244309540147
0.7300000000000004,24.493887433349805
0.7400000000000004,23.622795298378662
0.7500000000000004,22.67927071657471
0.7600000000000005,21.669071845860877
0.7700000000000005,20.595959582209304
